,Open,High,Low,Close,Adj Close,Volume
2022-07-16 19:00:00,21265.552734375,21347.1171875,21186.013671875,21186.013671875,21186.013671875,14303232.0
2022-07-16 20:00:00,21189.599609375,21206.974609375,20963.65625,21153.7734375,21153.7734375,181471232.0
2022-07-16 21:00:00,21157.158203125,21277.955078125,21123.712890625,21207.40625,21207.40625,423845888.0
2022-07-16 22:00:00,21205.306640625,21260.265625,21168.763671875,21260.265625,21260.265625,197847040.0
2022-07-16 23:00:00,21265.841796875,21273.46484375,21184.09765625,21194.49609375,21194.49609375,99028992.0
2022-07-17 00:00:00,21202.05859375,21306.458984375,21200.5390625,21283.345703125,21283.345703125,321998848.0
2022-07-17 01:00:00,21270.154296875,21302.68359375,21126.689453125,21139.52734375,21139.52734375,219320320.0
2022-07-17 02:00:00,21148.50390625,21209.193359375,21137.55859375,21170.64453125,21170.64453125,50841600.0
2022-07-17 03:00:00,21168.798828125,21397.189453125,21167.08203125,21326.41796875,21326.41796875,734703616.0
2022-07-17 04:00:00,21322.64453125,21411.79296875,21261.751953125,21261.751953125,21261.751953125,198438912.0
2022-07-17 05:00:00,21260.681640625,21357.095703125,21260.681640625,21344.451171875,21344.451171875,378042368.0
2022-07-17 06:00:00,21343.44921875,21543.552734375,21343.44921875,21543.552734375,21543.552734375,350212096.0
2022-07-17 07:00:00,21548.978515625,21600.640625,21489.533203125,21491.92578125,21491.92578125,558934016.0
2022-07-17 08:00:00,21471.63671875,21472.9375,21390.1953125,21417.546875,21417.546875,366141440.0
2022-07-17 09:00:00,21430.654296875,21506.087890625,21317.8203125,21348.658203125,21348.658203125,669536256.0
2022-07-17 10:00:00,21357.7890625,21363.46875,21253.880859375,21345.4296875,21345.4296875,610977792.0
2022-07-17 11:00:00,21368.091796875,21408.783203125,21318.44921875,21368.076171875,21368.076171875,426745856.0
2022-07-17 12:00:00,21423.005859375,21459.1640625,21367.689453125,21367.689453125,21367.689453125,344537088.0
2022-07-17 13:00:00,21375.634765625,21375.634765625,21169.96875,21190.3671875,21190.3671875,483764224.0
2022-07-17 14:00:00,21175.125,21239.87109375,21151.068359375,21239.87109375,21239.87109375,174247936.0
2022-07-17 15:00:00,21223.689453125,21247.533203125,21160.212890625,21160.638671875,21160.638671875,0.0
2022-07-17 16:00:00,21170.455078125,21192.27734375,21067.091796875,21146.46875,21146.46875,0.0
2022-07-17 17:00:00,21146.06640625,21312.18359375,21057.505859375,21057.505859375,21057.505859375,0.0
2022-07-17 18:00:00,21003.041015625,21043.615234375,20929.6875,20982.08203125,20982.08203125,309135360.0
2022-07-17 19:00:00,20984.150390625,21062.0,20966.18359375,21046.578125,21046.578125,0.0
2022-07-17 20:00:00,21036.546875,21036.546875,20936.552734375,20955.158203125,20955.158203125,0.0
2022-07-17 21:00:00,20944.947265625,21035.2109375,20929.25390625,21005.216796875,21005.216796875,0.0
2022-07-17 22:00:00,21014.55859375,21041.00390625,20968.12890625,20996.919921875,20996.919921875,20568064.0
